1,"KABUPATEN ACEH SELATAN",
1,"KABUPATEN ACEH TENGGARA",
1,"KABUPATEN ACEH TIMUR",
1,"KABUPATEN ACEH TENGAH",
1,"KABUPATEN ACEH BARAT",
1,"KABUPATEN ACEH BESAR",
1,"KABUPATEN PIDIE",
1,"KABUPATEN ACEH UTARA",
1,"KABUPATEN SIMEULUE",
1,"KABUPATEN ACEH SINGKIL",
1,"KABUPATEN BIREUEN",
1,"KABUPATEN ACEH BARAT DAYA",
1,"KABUPATEN GAYO LUES",
1,"KABUPATEN ACEH JAYA",
1,"KABUPATEN NAGAN RAYA",
1,"KABUPATEN ACEH TAMIANG",
1,"KABUPATEN BENER MERIAH",
1,"KABUPATEN PIDIE JAYA",
1,"KOTA BANDA ACEH",
1,"KOTA SABANG",
1,"KOTA LHOKSEUMAWE",
1,"KOTA LANGSA",
1,"KOTA SUBULUSSALAM",
2,"KABUPATEN TAPANULI TENGAH",
2,"KABUPATEN TAPANULI UTARA",
2,"KABUPATEN TAPANULI SELATAN",
2,"KABUPATEN NIAS",
2,"KABUPATEN LANGKAT",
2,"KABUPATEN KARO",
2,"KABUPATEN DELI SERDANG",
2,"KABUPATEN SIMALUNGUN",
2,"KABUPATEN ASAHAN",
2,"KABUPATEN LABUHANBATU",
2,"KABUPATEN DAIRI",
2,"KABUPATEN TOBA SAMOSIR",
2,"KABUPATEN MANDAILING NATAL",
2,"KABUPATEN NIAS SELATAN",
2,"KABUPATEN PAKPAK BHARAT",
2,"KABUPATEN HUMBANG HASUNDUTAN",
2,"KABUPATEN SAMOSIR",
2,"KABUPATEN SERDANG BEDAGAI",
2,"KABUPATEN BATU BARA",
2,"KABUPATEN PADANG LAWAS UTARA",
2,"KABUPATEN PADANG LAWAS",
2,"KABUPATEN LABUHANBATU SELATAN",
2,"KABUPATEN LABUHANBATU UTARA",
2,"KABUPATEN NIAS UTARA",
2,"KABUPATEN NIAS BARAT",
2,"KOTA MEDAN",
2,"KOTA PEMATANGSIANTAR",
2,"KOTA SIBOLGA",
2,"KOTA TANJUNG BALAI",
2,"KOTA BINJAI",
2,"KOTA TEBING TINGGI",
2,"KOTA PADANGSIDIMPUAN",
2,"KOTA GUNUNGSITOLI",
3,"KABUPATEN PESISIR SELATAN",
3,"KABUPATEN SOLOK",
3,"KABUPATEN SIJUNJUNG",
3,"KABUPATEN TANAH DATAR",
3,"KABUPATEN PADANG PARIAMAN",
3,"KABUPATEN AGAM",
3,"KABUPATEN LIMA PULUH KOTA",
3,"KABUPATEN PASAMAN",
3,"KABUPATEN KEPULAUAN MENTAWAI",
3,"KABUPATEN DHARMASRAYA",
3,"KABUPATEN SOLOK SELATAN",
3,"KABUPATEN PASAMAN BARAT",
3,"KOTA PADANG",
3,"KOTA SOLOK",
3,"KOTA SAWAHLUNTO",
3,"KOTA PADANG PANJANG",
3,"KOTA BUKITTINGGI",
3,"KOTA PAYAKUMBUH",
3,"KOTA PARIAMAN",
4,"KABUPATEN KAMPAR",
4,"KABUPATEN INDRAGIRI HULU",
4,"KABUPATEN BENGKALIS",
4,"KABUPATEN INDRAGIRI HILIR",
4,"KABUPATEN PELALAWAN",
4,"KABUPATEN ROKAN HULU",
4,"KABUPATEN ROKAN HILIR",
4,"KABUPATEN SIAK",
4,"KABUPATEN KUANTAN SINGINGI",
4,"KABUPATEN KEPULAUAN MERANTI",
4,"KOTA PEKANBARU",
4,"KOTA DUMAI",
5,"KABUPATEN KERINCI",
